step,dataset,setting,resolution,noise,baseline_mse_cd,rodr_w1.0_cd,baseline_mse_p2m,rodr_w1.0_p2m,delta_cd,delta_p2m,source_file,candidate
300000,PCNet,P2P-Bridge_steps_5_10000_0.01,10000,0.010000000000,0.000286003856,0.000291406331,0.000063346983,0.000066229487,0.000005402475,0.000002882504,experiments/rodr_compare_punet_full/manual_eval_objects/PCNet/step_300000_rodr_w1.0_comparison.csv,rodr_w1.0
300000,PCNet,P2P-Bridge_steps_5_10000_0.02,10000,0.020000000000,0.000464994245,0.000464857373,0.000095319863,0.000095907617,-0.000000136872,0.000000587754,experiments/rodr_compare_punet_full/manual_eval_objects/PCNet/step_300000_rodr_w1.0_comparison.csv,rodr_w1.0
300000,PCNet,P2P-Bridge_steps_5_10000_0.03,10000,0.030000000000,0.000584115752,0.000581809145,0.000137912112,0.000136652221,-0.000002306607,-0.000001259891,experiments/rodr_compare_punet_full/manual_eval_objects/PCNet/step_300000_rodr_w1.0_comparison.csv,rodr_w1.0
300000,PCNet,P2P-Bridge_steps_5_50000_0.01,50000,0.010000000000,0.000096116013,0.000097478069,0.000013160480,0.000013937128,0.000001362056,0.000000776648,experiments/rodr_compare_punet_full/manual_eval_objects/PCNet/step_300000_rodr_w1.0_comparison.csv,rodr_w1.0
300000,PCNet,P2P-Bridge_steps_5_50000_0.02,50000,0.020000000000,0.000141538266,0.000140065243,0.000027348647,0.000026794640,-0.000001473023,-0.000000554007,experiments/rodr_compare_punet_full/manual_eval_objects/PCNet/step_300000_rodr_w1.0_comparison.csv,rodr_w1.0
300000,PCNet,P2P-Bridge_steps_5_50000_0.03,50000,0.030000000000,0.000207233887,0.000213466737,0.000049757245,0.000050553233,0.000006232850,0.000000795988,experiments/rodr_compare_punet_full/manual_eval_objects/PCNet/step_300000_rodr_w1.0_comparison.csv,rodr_w1.0
300000,PUNet,P2P-Bridge_steps_5_10000_0.01,10000,0.010000000000,0.000231579373,0.000241370029,0.000038356674,0.000047199313,0.000009790656,0.000008842639,experiments/rodr_compare_punet_full/manual_eval_objects/PUNet/step_300000_rodr_w1.0_comparison.csv,rodr_w1.0
300000,PUNet,P2P-Bridge_steps_5_10000_0.02,10000,0.020000000000,0.000331954126,0.000334789495,0.000085434747,0.000087722408,0.000002835369,0.000002287661,experiments/rodr_compare_punet_full/manual_eval_objects/PUNet/step_300000_rodr_w1.0_comparison.csv,rodr_w1.0
300000,PUNet,P2P-Bridge_steps_5_10000_0.03,10000,0.030000000000,0.000417350759,0.000418082485,0.000152217620,0.000152370225,0.000000731726,0.000000152605,experiments/rodr_compare_punet_full/manual_eval_objects/PUNet/step_300000_rodr_w1.0_comparison.csv,rodr_w1.0
300000,PUNet,P2P-Bridge_steps_5_50000_0.01,50000,0.010000000000,0.000060754563,0.000062372650,0.000009445903,0.000010401298,0.000001618087,0.000000955395,experiments/rodr_compare_punet_full/manual_eval_objects/PUNet/step_300000_rodr_w1.0_comparison.csv,rodr_w1.0
300000,PUNet,P2P-Bridge_steps_5_50000_0.02,50000,0.020000000000,0.000094714864,0.000096320309,0.000035198514,0.000035770098,0.000001605445,0.000000571584,experiments/rodr_compare_punet_full/manual_eval_objects/PUNet/step_300000_rodr_w1.0_comparison.csv,rodr_w1.0
300000,PUNet,P2P-Bridge_steps_5_50000_0.03,50000,0.030000000000,0.000151057729,0.000162008797,0.000079044997,0.000087989270,0.000010951068,0.000008944273,experiments/rodr_compare_punet_full/manual_eval_objects/PUNet/step_300000_rodr_w1.0_comparison.csv,rodr_w1.0
